P.No,Title,URL,Difficulty,Category,Expected TC,My TC,Solved
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,Heaps,O(n) / O(n log k),,False
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,Arrays Part-III,O(n),,False
225,Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Easy,Stack and Queue,O(n) push / O(1) pop,,False
485,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/,Easy,Linked List and Arrays,O(n),,False
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,Heaps,O(log n),,False
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,Binary Search Tree Part-II,O(h + k),,False
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,Binary Tree part-II,O(n),,False
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,Binary Search Tree,O(n),,False
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,Arrays Part-III,O(log(mn)),,False
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,String,O(n),,False
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,Binary Tree part-II,O(n),,False
662,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/,Medium,Binary Tree,O(n),,False
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,Linked List,O(n),,False
1008,Construct Binary Search Tree from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,Medium,Binary Search Tree,O(n),,False
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,Arrays,O(n),,False
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,Linked List and Arrays,O(n),,False
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/,Medium,Binary Search,O(log n),,False
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,Dynamic Programming,O(m * n),,False
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,Binary Search,"O(log(min(m, n)))",,False
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,Medium,Binary Search Tree Part-II,O(1),,False
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,Graph,O(V + E),,False
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Medium,Binary Tree part-III,O(n),,False
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,String Part-II,O(n),,False
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/,Medium,Arrays Part-III,O(n),,False
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,Stack and Queue Part-II,O(n),,False
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,Recursion and Backtracking,O(9^m),,False
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,Recursion,O(n^(T/M + 1)),,False
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,Binary Search Tree,O(h),,False
